,hh_id,hh_race,hh_is_latinx,hh_zip_code,hh_state,hh_income,hh_size,hh_residence_type
21953,8007493,1,2,34234,FL,13,1,6
21954,8007508,1,2,34275,FL,16,2,4
21955,8007813,1,2,34234,FL,16,1,7
21956,8007819,1,2,34237,FL,13,1,1
21957,8007826,1,2,34275,FL,23,3,1
21958,8008083,2,2,88011,NM,26,2,1
21959,8008112,1,2,88011,NM,27,2,1
21960,8257368,2,2,72120,AR,19,3,1
21961,8257374,1,2,72207,AR,21,2,2
21962,8257375,1,2,72207,AR,26,1,1
21963,8257907,1,2,48111,MI,16,1,7
21964,8257940,1,2,48162,MI,23,2,1
21965,8257948,1,2,48180,MI,19,4,1
21966,8257979,1,2,48183,MI,18,4,1
21967,8258282,4,2,48141,MI,13,2,3
21968,8258298,1,2,48188,MI,26,4,1
21969,8258314,2,2,48205,MI,15,1,1
21970,8258930,1,2,72116,AR,11,1,1
21971,8259360,2,2,48219,MI,19,2,1
21972,8000204,1,2,32825,FL,26,3,1
21973,8001530,1,2,34110,FL,27,1,5
21974,8001611,1,2,34103,FL,19,2,1
21975,8001729,1,2,34113,FL,18,1,1
21976,8003012,1,2,34101,FL,26,1,6
21977,8003024,1,2,34102,FL,27,2,1
21978,8003081,1,2,34113,FL,16,1,7
21979,8259347,2,2,30214,GA,26,6,1
21980,8259418,1,2,48532,MI,18,2,6
21981,8259478,1,2,48420,MI,21,4,1
21982,8259557,1,1,48420,MI,10,3,1
21983,8259578,1,2,49341,MI,23,3,1
21984,8259600,1,2,80002,CO,15,2,7
21985,8259860,1,2,37721,TN,19,2,1
21986,8259870,1,2,37923,TN,11,1,5
21987,8008866,1,2,80005,CO,23,2,1
21988,8008908,1,2,80005,CO,21,3,1
21989,8008913,1,2,80005,CO,26,4,1
21990,8008929,1,2,80005,CO,26,2,1
21991,8008936,1,2,80005,CO,13,1,5
21992,8009132,1,2,80034,CO,21,2,1
21993,8009148,1,2,80033,CO,16,2,1
21994,8009152,1,2,80033,CO,15,1,1
21995,8009162,1,2,80525,CO,26,2,1
21996,8009272,1,2,80123,CO,23,4,1
21997,8134359,1,2,33193,FL,17,2,6
21998,8134834,1,2,48883,MI,16,2,1
21999,8135000,1,2,85373,AZ,13,2,7
22000,8135319,1,2,77064,TX,26,4,1
22001,8135412,2,2,33176,FL,23,4,1
22002,8135436,1,2,77015,TX,27,2,1
22003,8135441,1,2,33125,FL,11,1,3
22004,8135495,2,2,33055,FL,4,2,1
22005,8135708,3,2,77381,TX,26,1,6
22006,8135776,1,2,85226,AZ,19,1,1
22007,8135978,1,2,33161,FL,23,4,1
22008,8136149,2,2,77026,TX,15,3,1
22009,8136155,1,2,77043,TX,23,2,6
22010,8163400,1,2,14613,NY,13,3,3
22011,8163768,4,1,33014,FL,21,3,6
22012,8163834,1,2,33980,FL,6,1,7
22013,8164123,1,2,45344,OH,18,4,1
22014,8164133,1,2,45503,OH,15,2,1
